"","Variable","Level","Control","Treatment","Overall","Missing (Overall)"
"1","Number of Individuals","--","4719","4721","9440",""
"2","Number of Clusters","--","15","15","30",""
"3","Cluster Size","Mean (SD)","461 (85)","464 (79)","463 (82)",""
"4","HIV Status at Study Start","HIV-uninfected","4719 (100%)","4721 (100%)","9440 (100%)",""
"5","Gender","Male","1897 (40%)","1900 (40%)","3797 (40%)",""
"6","","Female","2822 (60%)","2821 (60%)","5643 (60%)",""
"7","Age","Mean (SD)","33 (14)","33 (14)","33 (14)",""
"8","Marital Status","Single/never married","3803 (81%)","3715 (79%)","7518 (80%)",""
"9","","Married","745 (16%)","825 (17%)","1570 (17%)",""
"10","","Divorced/separated","59 (1%)","61 (1%)","120 (1%)",""
"11","","Widowed","112 (2%)","120 (3%)","232 (2%)",""
"12","Education","Non-formal","472 (10%)","391 (8%)","863 (9%)","27 (<1%)"
"13","","Primary","729 (15%)","716 (15%)","1445 (15%)",""
"14","","Junior secondary","1807 (38%)","1642 (35%)","3449 (37%)",""
"15","","Senior secondary","972 (21%)","1027 (22%)","1999 (21%)",""
"16","","Higher than senior secondary","726 (15%)","931 (20%)","1657 (18%)",""
"17","Monthly Income","No income","2830 (60%)","2568 (54%)","5398 (57%)","5 (<1%)"
"18","","1-199 pula","103 (2%)","82 (2%)","185 (2%)",""
"19","","200-499 pula","200 (4%)","217 (5%)","417 (4%)",""
"20","","500-999 pula","414 (9%)","443 (9%)","857 (9%)",""
"21","","1000-4999 pula","882 (19%)","1021 (22%)","1903 (20%)",""
"22","","5000-10000 pula","203 (4%)","254 (5%)","457 (5%)",""
"23","","More than 10000 pula","84 (2%)","134 (3%)","218 (2%)",""
"24","Weekly Alcohol Consumption","0","3381 (75%)","3297 (74%)","6678 (74%)","466 (5%)"
"25","","1","293 (7%)","328 (7%)","621 (7%)",""
"26","","2","318 (7%)","358 (8%)","676 (8%)",""
"27","","3","315 (7%)","329 (7%)","644 (7%)",""
"28","","4","183 (4%)","172 (4%)","355 (4%)",""
"29","Number of Partners (Last 12 Months)","0","361 (8%)","345 (8%)","706 (8%)","894 (9%)"
"30","","1","2305 (54%)","2300 (54%)","4605 (54%)",""
"31","","2","1311 (31%)","1279 (30%)","2590 (30%)",""
"32","","3","160 (4%)","193 (5%)","353 (4%)",""
"33","","4","135 (3%)","157 (4%)","292 (3%)",""
"34","Village Proportion of HIV Infected at Study Start","Mean (SD)","0.27 (0.07)","0.28 (0.06)","0.27 (0.06)",""
"35","Village Proportion of Males in Cluster","Mean (SD)","0.36 (0.02)","0.37 (0.03)","0.37 (0.03)",""
"36","Village Proportion Virally Suppressed Among HIV+","Mean (SD)","0.78 (0.08)","0.85 (0.06)","0.81 (0.08)",""
