"","Variable","Level","Control","Treatment","Overall","Missing (Overall)"
"1","Number of Individuals","--","1897","1900","3797",""
"2","Number of Clusters","--","15","15","30",""
"3","Cluster Size","Mean (SD)","463 (85)","465 (78)","464 (81)",""
"4","HIV Status at Study Start","HIV-uninfected","1897 (100%)","1900 (100%)","3797 (100%)",""
"5","Gender","Male","1897 (100%)","1900 (100%)","3797 (100%)",""
"6","Age","Mean (SD)","31 (13)","32 (13)","31 (13)",""
"7","Marital Status","Single/never married","1621 (85%)","1577 (83%)","3198 (84%)",""
"8","","Married","248 (13%)","294 (15%)","542 (14%)",""
"9","","Divorced/separated","18 (1%)","18 (1%)","36 (1%)",""
"10","","Widowed","10 (1%)","11 (1%)","21 (1%)",""
"11","Education","Non-formal","162 (9%)","157 (8%)","319 (8%)","14 (<1%)"
"12","","Primary","255 (13%)","240 (13%)","495 (13%)",""
"13","","Junior secondary","805 (43%)","716 (38%)","1521 (40%)",""
"14","","Senior secondary","367 (19%)","388 (20%)","755 (20%)",""
"15","","Higher than senior secondary","301 (16%)","392 (21%)","693 (18%)",""
"16","Weekly Alcohol Consumption","0","1029 (57%)","1001 (56%)","2030 (57%)","215 (6%)"
"17","","1","172 (10%)","182 (10%)","354 (10%)",""
"18","","2","205 (11%)","231 (13%)","436 (12%)",""
"19","","3","235 (13%)","242 (14%)","477 (13%)",""
"20","","4","150 (8%)","135 (8%)","285 (8%)",""
"21","Number of Partners (Last 12 Months)","0","103 (6%)","81 (5%)","184 (6%)","500 (13%)"
"22","","1","744 (46%)","783 (47%)","1527 (46%)",""
"23","","2","568 (35%)","534 (32%)","1102 (33%)",""
"24","","3","108 (7%)","131 (8%)","239 (7%)",""
"25","","4","109 (7%)","136 (8%)","245 (7%)",""
"26","Employment Status","Employed","591 (31%)","692 (36%)","1283 (34%)","1 (<1%)"
"27","","Unemployed looking for work","798 (42%)","689 (36%)","1487 (39%)",""
"28","","Unemployed not looking for work","508 (27%)","518 (27%)","1026 (27%)",""
"29","Monthly Income","No income","1076 (57%)","951 (50%)","2027 (53%)","2 (<1%)"
"30","","1-199 pula","32 (2%)","36 (2%)","68 (2%)",""
"31","","200-499 pula","65 (3%)","84 (4%)","149 (4%)",""
"32","","500-999 pula","122 (6%)","135 (7%)","257 (7%)",""
"33","","1000-4999 pula","445 (23%)","510 (27%)","955 (25%)",""
"34","","5000-10000 pula","115 (6%)","110 (6%)","225 (6%)",""
"35","","More than 10000 pula","41 (2%)","73 (4%)","114 (3%)",""
"36","Length in Current Residence","Less than 6 months","47 (2%)","50 (3%)","97 (3%)","3 (<1%)"
"37","","6 months to 12 months","85 (4%)","86 (5%)","171 (5%)",""
"38","","1 to 5 years","296 (16%)","371 (20%)","667 (18%)",""
"39","","More than 5 years","1468 (77%)","1391 (73%)","2859 (75%)",""
"40","Number of Partners (Lifetime)","Mean (SD)","11 (32)","10 (18)","11 (26)","15 (<1%)"
"41","Has Access to Healthcare","Strongly disagree","33 (3%)","30 (2%)","63 (2%)","1236 (33%)"
"42","","Disagree","139 (11%)","115 (9%)","254 (10%)",""
"43","","Agree","769 (60%)","736 (58%)","1505 (59%)",""
"44","","Strongly agree","343 (27%)","396 (31%)","739 (29%)",""
"45","Transactional Sex Ever","Yes","74 (5%)","75 (5%)","149 (5%)","687 (18%)"
"46","","No","1454 (95%)","1507 (95%)","2961 (95%)",""
"47","Condom Use in Last Sexual Encounter","Yes","990 (60%)","1010 (60%)","2000 (60%)","474 (12%)"
"48","","No","656 (40%)","667 (40%)","1323 (40%)",""
"49","Village Proportion of Males in Cluster","Mean (SD)","0.36 (0.02)","0.37 (0.03)","0.37 (0.03)",""
"50","Village Proportion of HIV Infected at Study Start","Mean (SD)","0.27 (0.07)","0.28 (0.06)","0.27 (0.06)",""
"51","Village Proportion Refused HIV Testing at Study Start","Mean (SD)","<0.01 (0)","<0.01 (0)","<0.01 (0)",""
"52","Village Proportion Virally Suppressed Among HIV+","Mean (SD)","0.78 (0.08)","0.85 (0.06)","0.81 (0.08)",""
