"","Variable","Level","Control","Treatment","Overall","Missing (Overall)"
"1","Number of Individuals","--","194","116","310",""
"2","Number of Clusters","--","15","15","30",""
"3","Cluster Size","Mean (SD)","456 (80)","459 (89)","457 (84)",""
"4","HIV Status at Study Start","HIV-infected","194 (100%)","116 (100%)","310 (100%)",""
"5","Gender","Male","59 (30%)","35 (30%)","94 (30%)",""
"6","","Female","135 (70%)","81 (70%)","216 (70%)",""
"7","Age","Mean (SD)","35 (10)","36 (10)","36 (10)",""
"8","Marital Status","Single/never married","172 (89%)","101 (87%)","273 (88%)",""
"9","","Married","14 (7%)","12 (10%)","26 (8%)",""
"10","","Divorced/separated","5 (3%)","1 (1%)","6 (2%)",""
"11","","Widowed","3 (2%)","2 (2%)","5 (2%)",""
"12","Education","Non-formal","24 (12%)","13 (11%)","37 (12%)","1 (<1%)"
"13","","Primary","43 (22%)","23 (20%)","66 (21%)",""
"14","","Junior secondary","79 (41%)","47 (41%)","126 (41%)",""
"15","","Senior secondary","29 (15%)","17 (15%)","46 (15%)",""
"16","","Higher than senior secondary","18 (9%)","16 (14%)","34 (11%)",""
"17","Weekly Alcohol Consumption","0","125 (69%)","70 (61%)","195 (66%)","13 (4%)"
"18","","1","10 (5%)","13 (11%)","23 (8%)",""
"19","","2","22 (12%)","12 (10%)","34 (11%)",""
"20","","3","13 (7%)","13 (11%)","26 (9%)",""
"21","","4","12 (7%)","7 (6%)","19 (6%)",""
"22","Number of Partners (Last 12 Months)","0","15 (8%)","7 (6%)","22 (7%)","14 (5%)"
"23","","1","94 (51%)","63 (57%)","157 (53%)",""
"24","","2","62 (34%)","37 (33%)","99 (33%)",""
"25","","3","5 (3%)","1 (1%)","6 (2%)",""
"26","","4","9 (5%)","3 (3%)","12 (4%)",""
"27","Employment Status","Employed","68 (35%)","55 (47%)","123 (40%)",""
"28","","Unemployed looking for work","92 (47%)","45 (39%)","137 (44%)",""
"29","","Unemployed not looking for work","34 (18%)","16 (14%)","50 (16%)",""
"30","Monthly Income","No income","101 (52%)","57 (50%)","158 (51%)","3 (1%)"
"31","","1-199 pula","1 (1%)","3 (3%)","4 (1%)",""
"32","","200-499 pula","5 (3%)","2 (2%)","7 (2%)",""
"33","","500-999 pula","36 (19%)","10 (9%)","46 (15%)",""
"34","","1000-4999 pula","44 (23%)","30 (27%)","74 (24%)",""
"35","","5000-10000 pula","4 (2%)","7 (6%)","11 (4%)",""
"36","","More than 10000 pula","3 (2%)","4 (4%)","7 (2%)",""
"37","Length in Current Residence","Less than 6 months","6 (3%)","7 (6%)","13 (4%)",""
"38","","6 months to 12 months","14 (7%)","3 (3%)","17 (5%)",""
"39","","1 to 5 years","25 (13%)","24 (21%)","49 (16%)",""
"40","","More than 5 years","149 (77%)","82 (71%)","231 (75%)",""
"41","Number of Partners (Lifetime)","Mean (SD)","10 (15)","10 (16)","10 (15)","2 (1%)"
"42","Has Access to Healthcare","Strongly disagree","3 (2%)","3 (4%)","6 (3%)","99 (32%)"
"43","","Disagree","22 (16%)","5 (7%)","27 (13%)",""
"44","","Agree","73 (54%)","37 (49%)","110 (52%)",""
"45","","Strongly agree","37 (27%)","31 (41%)","68 (32%)",""
"46","Transactional Sex Ever","Yes","17 (10%)","11 (11%)","28 (10%)","36 (12%)"
"47","","No","153 (90%)","93 (89%)","246 (90%)",""
"48","Condom Use in Last Sexual Encounter","Yes","104 (55%)","80 (71%)","184 (61%)","9 (3%)"
"49","","No","84 (45%)","33 (29%)","117 (39%)",""
"50","Village Proportion of Males in Cluster","Mean (SD)","0.36 (0.02)","0.37 (0.03)","0.37 (0.03)",""
"51","Village Proportion of HIV Infected at Study Start","Mean (SD)","0.27 (0.07)","0.28 (0.07)","0.28 (0.07)",""
"52","Village Proportion Refused HIV Testing at Study Start","Mean (SD)","<0.01 (0)","<0.01 (0)","<0.01 (0)",""
"53","Village Proportion Virally Suppressed Among HIV+","Mean (SD)","0.77 (0.09)","0.83 (0.06)","0.79 (0.08)",""
