"","Variable","Level","Control","Treatment","Overall","Missing (Overall)"
"1","Number of Individuals","--","1897","1900","3797",""
"2","Number of Clusters","--","15","15","30",""
"3","Component 1: VMMC","Yes","665 (40%)","852 (52%)","1517 (46%)","487 (13%)"
"4","","No","991 (60%)","802 (48%)","1793 (54%)",""
"5","Component 2: HTC","Yes","251 (14%)","246 (14%)","497 (14%)","207 (5%)"
"6","","No","1541 (86%)","1552 (86%)","3093 (86%)",""
"7","Component 3: ART","Yes","3 (15%)","5 (56%)","8 (28%)","3768 (99%)"
"8","","No","17 (85%)","4 (44%)","21 (72%)",""
"9","Village Proportion of Men who received VMMC","Mean (SD)","0.28 (0.05)","0.35 (0.07)","0.32 (0.07)",""
"10","Village Proportion of People who received HTC","Mean (SD)","0.36 (0.06)","0.35 (0.05)","0.35 (0.06)",""
"11","Village Proportion of HIV+ who received ART","Mean (SD)","0.9 (0.07)","0.95 (0.05)","0.92 (0.06)",""
"12","Outcome 1: HIV Seroconversion (3-year period)","Yes","20 (1%)","8 (<1%)","28 (1%)","445 (12%)"
"13","","No","1659 (99%)","1665 (100%)","3324 (99%)",""
"14","Outcome 2: Death (3-year period)","Yes","24 (1%)","7 (<1%)","31 (1%)","207 (5%)"
"15","","No","1768 (99%)","1791 (100%)","3559 (99%)",""
