"","Variable","Level","Control","Treatment","Overall","Missing (Overall)"
"1","Number of Individuals","--","194","116","310",""
"2","Number of Clusters","--","15","15","30",""
"3","Component 1: VMMC","Female","135 (100%)","81 (100%)","216 (100%)","94 (30%)"
"4","Component 2: HTC","Yes","74 (41%)","33 (29%)","107 (36%)","13 (4%)"
"5","","No","108 (59%)","82 (71%)","190 (64%)",""
"6","Component 3: ART","No","194 (100%)","116 (100%)","310 (100%)",""
"7","HIV- and received any component","HIV-infected","194 (100%)","116 (100%)","310 (100%)",""
"8","Village Proportion of Men who received VMMC","Mean (SD)","0.28 (0.05)","0.34 (0.07)","0.3 (0.07)",""
"9","Village Proportion of People who received HTC","Mean (SD)","0.36 (0.06)","0.34 (0.05)","0.35 (0.06)",""
"10","Village Proportion of HIV+ who received ART","Mean (SD)","0.88 (0.07)","0.92 (0.05)","0.89 (0.07)",""
"11","Village Proportion of HIV- who received at least 1 component","Mean (SD)","0.3 (0.05)","0.31 (0.06)","0.31 (0.05)",""
"12","Outcome 1: HIV Seroconversion (3-year period)",NA,NA,NA,NA,"310 (100%)"
"13","Outcome 2: Mortality (3-year period)","Yes","14 (8%)","6 (5%)","20 (7%)","13 (4%)"
"14","","No","168 (92%)","109 (95%)","277 (93%)",""
