"","Variable","Level","Control","Treatment","Overall","Missing (Overall)"
"1","Number of Individuals","--","6540","6591","13131",""
"2","Number of Clusters","--","15","15","30",""
"3","Cluster Size","Mean (SD)","459 (85)","462 (81)","460 (83)",""
"4","HIV Status at Study Start","HIV-uninfected","4719 (72%)","4721 (72%)","9440 (72%)",""
"5","","HIV-infected","1813 (28%)","1854 (28%)","3667 (28%)",""
"6","","Refused HIV testing","8 (<1%)","16 (<1%)","24 (<1%)",""
"7","Gender","Male","2378 (36%)","2413 (37%)","4791 (36%)",""
"8","","Female","4162 (64%)","4178 (63%)","8340 (64%)",""
"9","Age","Mean (SD)","35 (13)","35 (13)","35 (13)",""
"10","Marital Status","Single/never married","5234 (80%)","5168 (78%)","10402 (79%)","2 (<1%)"
"11","","Married","1009 (15%)","1110 (17%)","2119 (16%)",""
"12","","Divorced/separated","101 (2%)","108 (2%)","209 (2%)",""
"13","","Widowed","195 (3%)","204 (3%)","399 (3%)",""
"14","Education","Non-formal","760 (12%)","648 (10%)","1408 (11%)","45 (<1%)"
"15","","Primary","1258 (19%)","1283 (20%)","2541 (19%)",""
"16","","Junior secondary","2552 (39%)","2347 (36%)","4899 (37%)",""
"17","","Senior secondary","1117 (17%)","1207 (18%)","2324 (18%)",""
"18","","Higher than senior secondary","834 (13%)","1080 (16%)","1914 (15%)",""
"19","Employment Status","Employed","1780 (27%)","2148 (33%)","3928 (30%)","11 (<1%)"
"20","","Unemployed looking for work","3050 (47%)","2663 (40%)","5713 (44%)",""
"21","","Unemployed not looking for work","1708 (26%)","1771 (27%)","3479 (27%)",""
"22","Monthly Income","No income","3885 (59%)","3577 (54%)","7462 (57%)","13 (<1%)"
"23","","1-199 pula","136 (2%)","111 (2%)","247 (2%)",""
"24","","200-499 pula","275 (4%)","293 (4%)","568 (4%)",""
"25","","500-999 pula","644 (10%)","654 (10%)","1298 (10%)",""
"26","","1000-4999 pula","1254 (19%)","1470 (22%)","2724 (21%)",""
"27","","5000-10000 pula","243 (4%)","317 (5%)","560 (4%)",""
"28","","More than 10000 pula","99 (2%)","160 (2%)","259 (2%)",""
"29","Length in Current Residence","Less than 6 months","130 (2%)","164 (2%)","294 (2%)","9 (<1%)"
"30","","6 months to 12 months","252 (4%)","260 (4%)","512 (4%)",""
"31","","1 to 5 years","917 (14%)","1121 (17%)","2038 (16%)",""
"32","","More than 5 years","5239 (80%)","5039 (77%)","10278 (78%)",""
"33","Number of Partners (Lifetime)","Mean (SD)","8 (33)","8 (29)","8 (31)","77 (1%)"
"34","Number of Partners (Last 12 Months)","Mean (SD)","1 (1)","1 (1)","1 (1)","995 (8%)"
"35","Has Access to Healthcare","Strongly disagree","120 (3%)","142 (3%)","262 (3%)","3722 (28%)"
"36","","Disagree","442 (9%)","424 (9%)","866 (9%)",""
"37","","Agree","2739 (59%)","2574 (54%)","5313 (56%)",""
"38","","Strongly agree","1364 (29%)","1604 (34%)","2968 (32%)",""
"39","Transactional Sex Ever","Yes","452 (8%)","479 (9%)","931 (8%)","2149 (16%)"
"40","","No","5022 (92%)","5029 (91%)","10051 (92%)",""
"41","Condom Use in Last Sexual Encounter","Yes","3118 (51%)","3297 (54%)","6415 (52%)","897 (7%)"
"42","","No","2979 (49%)","2840 (46%)","5819 (48%)",""
"43","Village Proportion of Males in Cluster","Mean (SD)","0.36 (0.02)","0.37 (0.03)","0.36 (0.03)",""
"44","Village Proportion of HIV Infected at Study Start","Mean (SD)","0.28 (0.07)","0.28 (0.06)","0.28 (0.06)",""
"45","Village Proportion Refused HIV Testing at Study Start","Mean (SD)","<0.01 (0)","<0.01 (0)","<0.01 (0)",""
"46","Village Proportion Virally Suppressed Among HIV+","Mean (SD)","0.78 (0.08)","0.85 (0.06)","0.82 (0.08)",""
