"","Variable","Level","Control","Treatment","Overall","Missing (Overall)"
"1","Number of Individuals","--","4719","4721","9440",""
"2","Number of Clusters","--","15","15","30",""
"3","Cluster Size","Mean (SD)","461 (85)","464 (79)","463 (82)",""
"4","HIV Status at Study Start","HIV-uninfected","4719 (100%)","4721 (100%)","9440 (100%)",""
"5","Gender","Male","1897 (40%)","1900 (40%)","3797 (40%)",""
"6","","Female","2822 (60%)","2821 (60%)","5643 (60%)",""
"7","Age","Mean (SD)","33 (14)","33 (14)","33 (14)",""
"8","Marital Status","Single/never married","3803 (81%)","3715 (79%)","7518 (80%)",""
"9","","Married","745 (16%)","825 (17%)","1570 (17%)",""
"10","","Divorced/separated","59 (1%)","61 (1%)","120 (1%)",""
"11","","Widowed","112 (2%)","120 (3%)","232 (2%)",""
"12","Education","Non-formal","472 (10%)","391 (8%)","863 (9%)","27 (<1%)"
"13","","Primary","729 (15%)","716 (15%)","1445 (15%)",""
"14","","Junior secondary","1807 (38%)","1642 (35%)","3449 (37%)",""
"15","","Senior secondary","972 (21%)","1027 (22%)","1999 (21%)",""
"16","","Higher than senior secondary","726 (15%)","931 (20%)","1657 (18%)",""
"17","Employment Status","Employed","1242 (26%)","1483 (31%)","2725 (29%)","7 (<1%)"
"18","","Unemployed looking for work","2108 (45%)","1790 (38%)","3898 (41%)",""
"19","","Unemployed not looking for work","1368 (29%)","1442 (31%)","2810 (30%)",""
"20","Monthly Income","No income","2830 (60%)","2568 (54%)","5398 (57%)","5 (<1%)"
"21","","1-199 pula","103 (2%)","82 (2%)","185 (2%)",""
"22","","200-499 pula","200 (4%)","217 (5%)","417 (4%)",""
"23","","500-999 pula","414 (9%)","443 (9%)","857 (9%)",""
"24","","1000-4999 pula","882 (19%)","1021 (22%)","1903 (20%)",""
"25","","5000-10000 pula","203 (4%)","254 (5%)","457 (5%)",""
"26","","More than 10000 pula","84 (2%)","134 (3%)","218 (2%)",""
"27","Length in Current Residence","Less than 6 months","110 (2%)","130 (3%)","240 (3%)","7 (<1%)"
"28","","6 months to 12 months","201 (4%)","212 (4%)","413 (4%)",""
"29","","1 to 5 years","704 (15%)","860 (18%)","1564 (17%)",""
"30","","More than 5 years","3703 (78%)","3513 (75%)","7216 (76%)",""
"31","Number of Partners (Lifetime)","Mean (SD)","7 (21)","7 (14)","7 (18)","50 (1%)"
"32","Number of Partners (Last 12 Months)","Mean (SD)","1 (1)","1 (1)","1 (1)","894 (9%)"
"33","Has Access to Healthcare","Strongly disagree","77 (2%)","96 (3%)","173 (3%)","2928 (31%)"
"34","","Disagree","331 (10%)","309 (9%)","640 (10%)",""
"35","","Agree","1933 (59%)","1785 (55%)","3718 (57%)",""
"36","","Strongly agree","908 (28%)","1073 (33%)","1981 (30%)",""
"37","Transactional Sex Ever","Yes","321 (8%)","345 (9%)","666 (9%)","1609 (17%)"
"38","","No","3587 (92%)","3578 (91%)","7165 (91%)",""
"39","Condom Use in Last Sexual Encounter","Yes","2159 (50%)","2221 (52%)","4380 (51%)","837 (9%)"
"40","","No","2140 (50%)","2083 (48%)","4223 (49%)",""
"41","Village Proportion of Males in Cluster","Mean (SD)","0.36 (0.02)","0.37 (0.03)","0.37 (0.03)",""
"42","Village Proportion of HIV Infected at Study Start","Mean (SD)","0.27 (0.07)","0.28 (0.06)","0.27 (0.06)",""
"43","Village Proportion Refused HIV Testing at Study Start","Mean (SD)","<0.01 (0)","<0.01 (0)","<0.01 (0)",""
"44","Village Proportion Virally Suppressed Among HIV+","Mean (SD)","0.78 (0.08)","0.85 (0.06)","0.81 (0.08)",""
